ano,mes,entidad,cve_entidad,despliegue,ingresos_regulares
2019,jul,aguascalientes,01,393,10877
2019,jul,baja_california,02,747,271811
2019,jul,baja_california_sur,03,433,177882
2019,jul,campeche,04,479,299
2019,jul,chiapas,07,2424,130258
2019,jul,chihuahua,08,1589,59486
2019,jul,coahuila_de_zaragoza,05,1338,15780
2019,jul,colima,06,535,4316
2019,jul,ciudad_de_mexico,09,3047,883725
2019,jul,durango,10,792,5987
2019,jul,guanajuato,11,2110,35658
2019,jul,guerrero,12,2538,3254
2019,jul,hidalgo,13,1608,0
2019,jul,jalisco,14,3470,308264
2019,jul,mexico,15,9141,2034
2019,jul,michoacan_de_ocampo,16,3628,21635
2019,jul,morelos,17,791,15
2019,jul,nayarit,18,664,0
2019,jul,nuevo_leon,19,1766,75303
2019,jul,oaxaca,20,3391,0
2019,jul,puebla,21,2163,1535
2019,jul,queretaro,22,1260,20087
2019,jul,quintana_roo,23,1453,1284202
2019,jul,san_luis_potosi,24,874,10206
2019,jul,sinaloa,25,941,7158
2019,jul,sonora,26,1186,10973
2019,jul,tabasco,27,1116,3581
2019,jul,tamaulipas,28,1215,120997
2019,jul,tlaxcala,29,410,0
2019,jul,veracruz_de_ignacio_de_la_llave,30,2458,7297
2019,jul,yucatan,31,673,18980
2019,jul,zacatecas,32,1558,6934
2019,ago,aguascalientes,01,393,9119
2019,ago,baja_california,02,747,251780
2019,ago,baja_california_sur,03,433,142792
2019,ago,campeche,04,479,321
2019,ago,chiapas,07,2424,132134
2019,ago,chihuahua,08,1589,36605
2019,ago,coahuila_de_zaragoza,05,1338,11744
2019,ago,colima,06,535,3801
2019,ago,ciudad_de_mexico,09,3047,840182
2019,ago,durango,10,792,4202
2019,ago,guanajuato,11,2110,27208
2019,ago,guerrero,12,2538,2558
2019,ago,hidalgo,13,1608,0
2019,ago,jalisco,14,3470,248816
2019,ago,mexico,15,9141,2782
2019,ago,michoacan_de_ocampo,16,3628,18755
2019,ago,morelos,17,791,0
2019,ago,nayarit,18,664,0
2019,ago,nuevo_leon,19,1766,65794
2019,ago,oaxaca,20,3391,0
2019,ago,puebla,21,2163,1456
2019,ago,queretaro,22,1260,17845
2019,ago,quintana_roo,23,1453,1200681
2019,ago,san_luis_potosi,24,874,8246
2019,ago,sinaloa,25,941,5936
2019,ago,sonora,26,1186,8614
2019,ago,tabasco,27,1116,3051
2019,ago,tamaulipas,28,1215,70022
2019,ago,tlaxcala,29,410,0
2019,ago,veracruz_de_ignacio_de_la_llave,30,2458,7117
2019,ago,yucatan,31,673,14821
2019,ago,zacatecas,32,1558,5120
2019,sep,aguascalientes,01,393,8627
2019,sep,baja_california,02,747,217633
2019,sep,baja_california_sur,03,433,95997
2019,sep,campeche,04,479,402
2019,sep,chiapas,07,2424,126250
