ano,mes,entidad,cve_entidad,despliegue,migrantes_detenidos
2019,jul,aguascalientes,01,393,20
2019,jul,baja_california,02,747,315
2019,jul,baja_california_sur,03,433,3
2019,jul,campeche,04,479,82
2019,jul,chiapas,07,2424,6573
2019,jul,chihuahua,08,1589,979
2019,jul,coahuila_de_zaragoza,05,1338,1613
2019,jul,colima,06,535,1
2019,jul,ciudad_de_mexico,09,3047,158
2019,jul,durango,10,792,70
2019,jul,guanajuato,11,2110,32
2019,jul,guerrero,12,2538,1
2019,jul,hidalgo,13,1608,12
2019,jul,jalisco,14,3470,46
2019,jul,mexico,15,9141,186
2019,jul,michoacan_de_ocampo,16,3628,15
2019,jul,morelos,17,791,5
2019,jul,nayarit,18,664,9
2019,jul,nuevo_leon,19,1766,1259
2019,jul,oaxaca,20,3391,742
2019,jul,puebla,21,2163,69
2019,jul,queretaro,22,1260,78
2019,jul,quintana_roo,23,1453,117
2019,jul,san_luis_potosi,24,874,360
2019,jul,sinaloa,25,941,50
2019,jul,sonora,26,1186,483
2019,jul,tabasco,27,1116,1982
2019,jul,tamaulipas,28,1215,1983
2019,jul,tlaxcala,29,410,115
2019,jul,veracruz_de_ignacio_de_la_llave,30,2458,1307
2019,jul,yucatan,31,673,39
2019,jul,zacatecas,32,1558,188
2019,ago,aguascalientes,01,393,28
2019,ago,baja_california,02,747,243
2019,ago,baja_california_sur,03,433,2
2019,ago,campeche,04,479,67
2019,ago,chiapas,07,2424,5665
2019,ago,chihuahua,08,1589,248
2019,ago,coahuila_de_zaragoza,05,1338,718
2019,ago,colima,06,535,3
2019,ago,ciudad_de_mexico,09,3047,258
2019,ago,durango,10,792,47
2019,ago,guanajuato,11,2110,40
2019,ago,guerrero,12,2538,1
2019,ago,hidalgo,13,1608,114
2019,ago,jalisco,14,3470,53
2019,ago,mexico,15,9141,261
2019,ago,michoacan_de_ocampo,16,3628,1
2019,ago,morelos,17,791,9
2019,ago,nayarit,18,664,4
2019,ago,nuevo_leon,19,1766,1049
2019,ago,oaxaca,20,3391,585
2019,ago,puebla,21,2163,131
2019,ago,queretaro,22,1260,45
2019,ago,quintana_roo,23,1453,62
2019,ago,san_luis_potosi,24,874,309
2019,ago,sinaloa,25,941,47
2019,ago,sonora,26,1186,520
2019,ago,tabasco,27,1116,1863
2019,ago,tamaulipas,28,1215,1198
2019,ago,tlaxcala,29,410,50
2019,ago,veracruz_de_ignacio_de_la_llave,30,2458,1679
2019,ago,yucatan,31,673,52
2019,ago,zacatecas,32,1558,69
2019,sep,aguascalientes,01,393,7
2019,sep,baja_california,02,747,197
2019,sep,baja_california_sur,03,433,5
2019,sep,campeche,04,479,12
2019,sep,chiapas,07,2424,4697
2019,sep,chihuahua,08,1589,120
2019,sep,coahuila_de_zaragoza,05,1338,458
2019,sep,colima,06,535,1
2019,sep,ciudad_de_mexico,09,3047,304
2019,sep,durango,10,792,53
2019,sep,guanajuato,11,2110,44
2019,sep,guerrero,12,2538,7
2019,sep,hidalgo,13,1608,113
2019,sep,jalisco,14,3470,27
2019,sep,mexico,15,9141,217
2019,sep,michoacan_de_ocampo,16,3628,2
2019,sep,morelos,17,791,23
2019,sep,nayarit,18,664,79
2019,sep,nuevo_leon,19,1766,616
2019,sep,oaxaca,20,3391,445
2019,sep,puebla,21,2163,379
2019,sep,queretaro,22,1260,32
2019,sep,quintana_roo,23,1453,76
2019,sep,san_luis_potosi,24,874,252
2019,sep,sinaloa,25,941,52
2019,sep,sonora,26,1186,387
2019,sep,tabasco,27,1116,1663
2019,sep,tamaulipas,28,1215,629
2019,sep,tlaxcala,29,410,41
2019,sep,veracruz_de_ignacio_de_la_llave,30,2458,1783
2019,sep,yucatan,31,673,20
2019,sep,zacatecas,32,1558,32
2019,oct,aguascalientes,01,393,23
2019,oct,baja_california,02,747,162
2019,oct,baja_california_sur,03,433,4
2019,oct,campeche,04,479,22
2019,oct,chiapas,07,2424,5791
2019,oct,chihuahua,08,1589,33
2019,oct,coahuila_de_zaragoza,05,1338,447
2019,oct,colima,06,535,2
2019,oct,ciudad_de_mexico,09,3047,226
2019,oct,durango,10,792,23
2019,oct,guanajuato,11,2110,46
2019,oct,guerrero,12,2538,5
2019,oct,hidalgo,13,1608,59
2019,oct,jalisco,14,3470,47
2019,oct,mexico,15,9141,203
2019,oct,michoacan_de_ocampo,16,3628,4
2019,oct,morelos,17,791,8
2019,oct,nayarit,18,664,21
2019,oct,nuevo_leon,19,1766,514
2019,oct,oaxaca,20,3391,398
2019,oct,puebla,21,2163,204
2019,oct,queretaro,22,1260,29
2019,oct,quintana_roo,23,1453,80
2019,oct,san_luis_potosi,24,874,213
2019,oct,sinaloa,25,941,39
2019,oct,sonora,26,1186,555
2019,oct,tabasco,27,1116,1084
2019,oct,tamaulipas,28,1215,424
2019,oct,tlaxcala,29,410,32
2019,oct,veracruz_de_ignacio_de_la_llave,30,2458,1029
2019,oct,yucatan,31,673,33
2019,oct,zacatecas,32,1558,54
2019,nov,aguascalientes,01,393,19
2019,nov,baja_california,02,747,210
2019,nov,baja_california_sur,03,433,2
2019,nov,campeche,04,479,16
2019,nov,chiapas,07,2424,4858
2019,nov,chihuahua,08,1589,45
2019,nov,coahuila_de_zaragoza,05,1338,342
2019,nov,colima,06,535,1
2019,nov,ciudad_de_mexico,09,3047,97
2019,nov,durango,10,792,22
2019,nov,guanajuato,11,2110,38
2019,nov,guerrero,12,2538,0
2019,nov,hidalgo,13,1608,37
2019,nov,jalisco,14,3470,18
2019,nov,mexico,15,9141,153
2019,nov,michoacan_de_ocampo,16,3628,1
2019,nov,morelos,17,791,10
2019,nov,nayarit,18,664,79
2019,nov,nuevo_leon,19,1766,271
